DI,f1 macro,f1 micro,f1 weighted,TV distance,method
0.4751640985931797,0.6855954864638039,0.8181818181818182,0.7922469866149294,0.1753979473734126,origin
0.4751640985931797,0.6855954864638039,0.8181818181818182,0.7922469866149294,0.17529544230644234,unconstrained
1.049107734663545,0.5509418786125503,0.7018138758813715,0.6869074031267958,4.048674788715158e-05,barycentre
0.9507775656982149,0.6268332047236493,0.7091877926691427,0.7184064489962217,0.024307738299308275,partial_0.001
1.071667649443271,0.6802802548158078,0.7203832283761237,0.7394290934788571,0.1753979473734126,ROC
0.4902656008251676,0.6857949064392885,0.8184509392324669,0.7918691844837343,0.1860639360639361,origin
0.4902656008251676,0.6857949064392885,0.8184509392324669,0.7918691844837343,0.18590590117138794,unconstrained
1.229167465215225,0.5416532151165643,0.6713493729479519,0.6683310469031053,0.00010517677476979415,barycentre
0.9471930100305774,0.6312581889431506,0.7101566284514773,0.719878928595685,0.02537787618210219,partial_0.001
1.0369453874393084,0.6763307966678251,0.7106410463426449,0.7310831259968111,0.1860639360639361,ROC
0.44630876071984205,0.6803617201711707,0.8168362129285752,0.7889455031648916,0.19522845314794984,origin
0.44630876071984205,0.6803617201711707,0.8168362129285752,0.7889455031648916,0.19506393538157424,unconstrained
0.8938417818185135,0.5362466990189964,0.689003713870499,0.6746205156232037,0.0001248002174912243,barycentre
1.0305250959540124,0.6198587618719091,0.6985305990634587,0.7097654437736104,0.02631273205554178,partial_0.001
0.9560909142518081,0.7173866256718917,0.7738306690349319,0.7830487977595232,0.19522845314794984,ROC
0.43870772847719086,0.6843624790906125,0.818397115022337,0.7919599538259252,0.19159802372607637,origin
0.43870772847719086,0.6843624790906125,0.818397115022337,0.7919599538259252,0.19150986651634302,unconstrained
0.6152974699939556,0.5515450817398756,0.686527800204532,0.6802507661073824,1.0952170901164786e-05,barycentre
0.9452288305829769,0.6319382157270741,0.7064965821626568,0.7185960444029206,0.02694522920863578,partial_0.001
1.0314287096802948,0.6664296828764997,0.6983691264330696,0.7204250650170986,0.19159802372607637,ROC
0.4232927762009907,0.6700930110156879,0.8143602992626083,0.7830902529821631,0.18402552422547463,origin
0.4232927762009907,0.6700930110156879,0.8143602992626083,0.7830902529821631,0.18391771288216302,unconstrained
1.2775677349708885,0.538418407905263,0.6899187254427042,0.6753864232813243,2.190910338889373e-06,barycentre
0.9671807496525038,0.6382459058591564,0.7240432746649443,0.7294956936595649,0.022632345405757367,partial_0.001
0.9242607776515317,0.7267586856270625,0.8024113246138113,0.8012273174774598,0.18402552422547463,ROC
0.46793507339428203,0.6918957468226039,0.8167285645083159,0.7929885842127666,0.1868896602338585,origin
0.46793507339428203,0.6918957468226039,0.8167285645083159,0.7929885842127666,0.18675863135984666,unconstrained
0.7378357528174255,0.5701809610200682,0.6942784864632111,0.6892315471333589,5.833670538196632e-06,barycentre
1.0183088650479954,0.6345234212154294,0.707411593734862,0.7186562437077285,0.026824105455814474,partial_0.001
1.0539497844518015,0.6762512805433895,0.7102642768717369,0.7303433539137951,0.1868896602338585,ROC
0.505637274111858,0.6966097490622915,0.8217880402605092,0.7978201841026471,0.16618290008356407,origin
0.505637274111858,0.6966097490622915,0.8217880402605092,0.7978201841026471,0.166059973086532,unconstrained
1.061773476125647,0.5575422360545396,0.7130093115883525,0.6937541503218383,0.000331120616746688,barycentre
1.0587460970670275,0.6286880981140999,0.707196296894343,0.7173601816948757,0.022749828648753887,partial_0.001
1.0928299346564994,0.7246819249114258,0.7882017331395662,0.7933621837183875,0.16618290008356407,ROC
0.4748160772860801,0.6858421457152561,0.8187200602831154,0.7932287910645192,0.1993135552457587,origin
0.4748160772860801,0.6858421457152561,0.8187200602831154,0.7932287910645192,0.19917416650375594,unconstrained
0.6613880984782878,0.546315440258608,0.6787771139458528,0.6751617639517993,1.2223617493710254e-05,barycentre
0.9810397257120703,0.6363774369193846,0.731309543032456,0.7340296033782638,0.02500665753630386,partial_0.001
0.8938960568552266,0.7092987225178511,0.7655955648850853,0.7765368176396763,0.1993135552457587,ROC
0.42073155360609044,0.6967566259394149,0.818397115022337,0.7952826309916228,0.1927436792302317,origin
0.42073155360609044,0.6967566259394149,0.818397115022337,0.7952826309916228,0.19258907317473883,unconstrained
0.9541482984529985,0.5794786266251328,0.7059045158512299,0.6977632197549974,0.00015814614117649168,barycentre
1.0185141023502782,0.630288090371157,0.7001453253673502,0.7127310456396956,0.02461851781667749,partial_0.001
1.0196566912874465,0.6830250828125045,0.7177458420797674,0.7368425420052649,0.1927436792302317,ROC
0.3962897746967071,0.6725702513489369,0.8162441466171484,0.7852375758986655,0.1889723180076629,origin
0.3962897746967071,0.6725702513489369,0.8162441466171484,0.7852375758986655,0.18884074649901103,unconstrained
0.7538517408550023,0.5624211571714797,0.7345928198503687,0.7050012770027786,2.9128734039918953e-06,barycentre
0.9173699461185392,0.6308506455456541,0.7097260347704396,0.719489022514495,0.026575177863400006,partial_0.001
0.8457583557621727,0.7281459401561645,0.8013348404112169,0.8014183547164873,0.1889723180076629,ROC
