DI of train,DI of test,f1 macro,f1 micro,f1 weighted,method
0.794594298285685,0.8670957124805314,0.6547415724235306,0.6662616443904414,0.66043774991493,origin
0.999999999999981,0.8706147697552088,0.6532176748570191,0.6650465775617659,0.6590024233288581,RW
0.794594298285685,1.009874693982734,0.6457752681834015,0.6601863102470635,0.6522284054930333,DIremover
0.9882971479246837,0.7998924754778258,0.5702393706632412,0.5714864317537465,0.5681484336468299,LFR
0.7945942982856872,0.9066499162479063,0.6260596569267127,0.6476306196840826,0.6341715029552009,partial
0.8048243799703612,0.8329765590446705,0.6454909901851731,0.6541109761036857,0.6494091656026788,origin
1.000000000000032,0.8305338125372081,0.6466905387874319,0.6553260429323613,0.6506055989567651,RW
0.8048243799703612,0.9808567471309854,0.6512863096305788,0.660996354799514,0.6554107220202964,DIremover
1,1,0.31720132743362833,0.4645605508302957,0.2947184467933347,LFR
0.8048243799703633,0.8784555984555984,0.6201987930422435,0.6419603078169299,0.6266425579924468,partial
0.8274787857154445,0.8284810182760671,0.6614456195609378,0.6727420008100445,0.6698365014200303,origin
0.9999999999999157,0.827075622146676,0.6623867561533399,0.6735520453624949,0.6707172057860058,RW
0.8274787857154445,1.019246263380305,0.6407868008754183,0.6581611988659376,0.6515058125270279,DIremover
1.1741650679703777,0.8070712136409228,0.6107161191659936,0.6107735925475901,0.6113579052604883,LFR
0.8274787857154499,0.8648815765478253,0.6300126388823517,0.6492507087889834,0.6414598030363865,partial
0.7910446195798748,0.8551171809138426,0.6408236795373297,0.6557310652085865,0.6491516623874751,origin
1.0000000000000377,0.8548165397920966,0.6346552234388873,0.6500607533414338,0.6431935940554859,RW
0.7910446195798748,1.0263621711797473,0.6335000626422953,0.6520858647225597,0.6428932467871772,DIremover
1,1,0.3577003121748179,0.5569056298096395,0.39841063526964327,LFR
0.7910446195798722,0.8834597875569044,0.6139975575891803,0.6395301741595788,0.625296243032144,partial
0.7974648607206747,0.776245596376447,0.6620225638538881,0.6707168894289186,0.6663038605385623,origin
0.9999999999999905,0.776910190208961,0.6615616588575417,0.6703118671526934,0.6658596201108278,RW
0.7974648607206747,0.920298865703999,0.651261759299308,0.6614013770757392,0.6559582568442108,DIremover
1.0521627906976745,1.6118586602389215,0.38347798663343025,0.414742810854597,0.37251280547672605,LFR
0.7974648607206736,0.8327444847203023,0.621380267233669,0.6447954637505062,0.6288166895802216,partial
0.8187049279439831,0.8188624018834162,0.6441815255549257,0.6573511543134872,0.6513624389201202,origin
0.9999999999999667,0.8236751951774414,0.6425118062390287,0.6561360874848117,0.6498327374478624,RW
0.8187049279439831,0.993180868777322,0.6303536254895242,0.6480356419603078,0.6388344445005113,DIremover
1,1,0.30917739227756014,0.44754961522883757,0.2767444459025548,LFR
0.818704927943987,0.8845079202112057,0.5966078875497849,0.6294046172539489,0.6086737298699247,partial
0.7851938455368938,0.8334491886815473,0.6472357948227174,0.6565411097610369,0.651992876025599,origin
1.00000000000002,0.8325422884797934,0.649173021931669,0.6585662211421628,0.6539393730162018,RW
0.7851938455368938,0.9665384392337283,0.6404952510086382,0.644390441474281,0.6436023095512716,DIremover
1.0010264050678517,1.154360477306508,0.45998510352654964,0.46051032806804376,0.46138342860455345,LFR
0.7851938455369004,0.8650710046643694,0.6176209567959239,0.6395301741595788,0.6252206007207111,partial
0.8108759177679882,0.8334994703893848,0.6641952633364578,0.6699068448764682,0.6678669943264646,origin
1.000000000000004,0.8367831249980561,0.6634531604971268,0.669501822600243,0.6672358585495288,RW
0.8108759177679882,0.9658341332596903,0.6493630938612972,0.6585662211421628,0.6541257122291452,DIremover
1.0571979166666665,0.6280277559195936,0.5723967015549423,0.5893074119076549,0.5652673389418841,LFR
0.8108759177679894,0.8901151169651413,0.6249063079634021,0.6456055083029567,0.6322937811880363,partial
0.808080808080808,0.8575727181544635,0.6612234683663255,0.6735520453624949,0.6674270198484745,origin
1.0000000000000415,0.8568921048860868,0.6574648653524946,0.6711219117051438,0.6640302202928147,RW
0.808080808080808,0.9268992876064089,0.6630452367219812,0.6723369785338194,0.6684163167449217,DIremover
1,1,0.3540031397174255,0.5479951397326853,0.3879840000305198,LFR
0.808080808080814,0.8674255751547837,0.6242654006347108,0.6508707978938841,0.6338627813811706,partial
0.830329457364341,0.8117249657399133,0.6518645721081865,0.6646415552855407,0.6593470759985187,origin
1.0000000000000293,0.8166750545210535,0.6504337336876009,0.6634264884568651,0.6579946435008072,RW
0.830329457364341,0.903050513697288,0.6533967637127145,0.6634264884568651,0.660011605984452,DIremover
1,1,0.3573659552316502,0.5560955852571892,0.39745926005107796,LFR
0.8303294573643424,0.871798671057304,0.6114953639930076,0.6439854191980559,0.6241000492756384,partial
