DI of train,DI,f1 macro,f1 micro,f1 weighted,method
0.44873006584429503,0.43310047558787607,0.6803595734532597,0.8158798503254908,0.7892302674217017,origin
0.9999999999996648,0.41737106844093386,0.6802187213704387,0.8160336255061766,0.7892317067963633,RW
0.44873006584429503,0.43175662520547814,0.680426647120933,0.8162386590804244,0.789403025643233,DIremover
0.7084612678238899,0.7413488495107114,0.6931194934576863,0.8107027525757342,0.7924849422238075,LFR
0.49076993064870994,0.4211895340927599,0.6737661346899992,0.813829514583013,0.7849030244854179,origin
1.0000000000001794,0.4243314278525547,0.6724272320532674,0.8138807729765749,0.78434324340936,RW
0.49076993064870994,0.41475631265337964,0.6640466603830236,0.8117791788405352,0.7798734312506544,DIremover
0.8544432889769877,0.9562705441196477,0.6895804515423231,0.8104977190014865,0.7903084282044696,LFR
0.45267976727870574,0.4459815567299862,0.6820522088554704,0.81849402839715,0.7901914256111569,origin
0.9999999999996863,0.4604757862397931,0.6864153917748385,0.8197242298426366,0.7925698902645184,RW
0.45267976727870574,0.47247163353338334,0.6924901377551694,0.8198267466297605,0.7952297037334022,DIremover
0.8643490564485612,0.8329830861984155,0.6944443713215189,0.8118304372340971,0.7927741316282096,LFR
0.4844332567797103,0.41945550146056476,0.6842381507518807,0.8198267466297605,0.7923462982630844,origin
1.0000000000003622,0.4576336667816488,0.6868619921571011,0.820441847352504,0.7937195862558878,RW
0.4844332567797103,0.46130201765447665,0.6825093128415455,0.8191603875134553,0.7913369090702178,DIremover
0.7002046826099013,0.6649661937486144,0.7116429646256358,0.8183915116100261,0.8033100193359889,LFR
0.4921799404511661,0.4278308587692288,0.6838594394934002,0.8164436926546722,0.7899667201419376,origin
0.9999999999996358,0.45843687427032176,0.6835291145558686,0.8165462094417961,0.7898649657886021,RW
0.4921799404511661,0.5024601203599226,0.6944531239837819,0.8173150853452252,0.7948700095488577,DIremover
0.8392762960491862,0.8054837251330335,0.7015581482189799,0.8119842124147829,0.795644095390444,LFR
0.4653276434329066,0.462654938778809,0.676954841301512,0.8178276692808447,0.7884130991291405,origin
0.9999999999999138,0.46538495585903866,0.6759414013339449,0.8170587933774156,0.7876712115793307,RW
0.4653276434329066,0.45236251389194576,0.6761246642999881,0.8177764108872827,0.7880341553063664,DIremover
0.9275489698044652,0.8665229219143576,0.7064996209481051,0.8046542621354247,0.7951798423292741,LFR
0.45968202760381355,0.4345027763755679,0.6828315242311894,0.8159311087190527,0.7881168974014037,origin
0.9999999999999426,0.42294725320757526,0.6865565017801625,0.8164949510482341,0.7899714112087839,RW
0.45968202760381355,0.4336019942975981,0.6853157549180926,0.8163924342611103,0.7893879940883052,DIremover
0.8091725927349606,0.8065622242625551,0.6963088410853018,0.8102926854272388,0.7916482396701698,LFR
0.42345950228416473,0.5157099678325279,0.6894039942523323,0.8196217130555128,0.7934482814499653,origin
0.9999999999997546,0.5453666147677274,0.6606481469001121,0.8151109744220616,0.7790946837622179,RW
0.42345950228416473,0.5149567400314093,0.689951609483521,0.8198780050233225,0.7937877889263287,DIremover
0.8096836493938684,0.907245804726526,0.6958808619166652,0.8141883233379466,0.7940134398362076,LFR
0.4596269866408303,0.43668398981805284,0.6804597717921901,0.8181864780357784,0.7888840674709924,origin
1.0000000000000815,0.4550302639384009,0.6744534676335694,0.8173663437387872,0.7859334714838643,RW
0.4596269866408303,0.45899964605616983,0.6719250658964707,0.8167512430160438,0.7845837870735002,DIremover
0.8413636043481324,0.905342272666634,0.6892407687917346,0.8112665949049157,0.7898858734706061,LFR
0.475013987055433,0.4712406015037594,0.6832899446524213,0.8197754882361987,0.7918325589571588,origin
0.9999999999999523,0.4638897731794667,0.6748888347610847,0.8183402532164642,0.7876330817684185,RW
0.475013987055433,0.44892558694787105,0.6733933732938572,0.817571377313035,0.7866824468114723,DIremover
0.8708953956739522,0.9211810466760962,0.6894594709254781,0.8125993131375263,0.7915497674602531,LFR
