DI,f1 macro,f1 micro,f1 weighted,TV distance,method
0.8130093489328784,0.6558849924533946,0.6678817334953422,0.6621566076184908,0.1743392798750137,origin
0.7911191586215067,0.6590042188272427,0.6658566221142163,0.6637225879477018,0.16675059694227434,unconstrained
0.6711282296316151,0.6093699812168374,0.6107735925475901,0.6070843708741929,2.0913880440492264e-06,barycentre
0.9738628399158952,0.579981977805436,0.5799918995544755,0.579782716012228,0.02301532006397343,partial_0.001
0.9205061156254508,0.47165057880494554,0.5933576346699069,0.49640281548296716,0.1743392798750137,ROC
0.7695083352379369,0.6535626633313593,0.656946132037262,0.6574869323632057,0.1831731216677967,origin
0.7653979141975115,0.6560639610140375,0.658971243418388,0.659688458460871,0.17803831557461433,unconstrained
0.7631334146599599,0.5750596037811161,0.5799918995544755,0.5698120860974293,5.093974325446711e-05,barycentre
1.0377404593718067,0.5685687408524649,0.5690562980963954,0.566906346876172,0.02105199759096468,partial_0.001
0.9101411888713212,0.4876909243817214,0.5953827460510328,0.5146138797990493,0.1831731216677967,ROC
0.7641120876331592,0.6569273017210304,0.6666666666666666,0.6629909928770876,0.1684449536717033,origin
0.7676570005337129,0.6589742772447647,0.6682867557715675,0.6648858751331027,0.1619133089604956,unconstrained
1.101587795765878,0.5950755967039749,0.5953827460510328,0.593905719043857,0.0003717487804090985,barycentre
0.8729979454019038,0.5514213230341222,0.5569056298096395,0.5462182627599134,0.019498948219656035,partial_0.001
0.9785336610621863,0.42857358209484625,0.5771567436208992,0.45913993541910975,0.1684449536717033,ROC
0.8059471693618036,0.6662672876958591,0.6784123126771973,0.6721206224533193,0.18148177534459117,origin
0.8059471693618036,0.6662672876958591,0.6784123126771973,0.6721206224533193,0.17707336120288927,unconstrained
0.8893412742333605,0.6330059298809299,0.6330498177399757,0.6333749129921669,2.210193518770485e-08,barycentre
0.9660782479931416,0.597352308075969,0.5974078574321587,0.5969174907016558,0.019816125790132512,partial_0.001
0.9449574765168824,0.4544547417946622,0.5816119886593762,0.4786700899811472,0.18148177534459117,ROC
0.7786610304242345,0.6623026701433106,0.6711219117051438,0.6684253015032801,0.17169599433565866,origin
0.7786610304242345,0.6623026701433106,0.6711219117051438,0.6684253015032801,0.16950967959280264,unconstrained
0.8323145358014064,0.5896633004642902,0.5925475901174565,0.5858036471602946,6.676425281235817e-05,barycentre
0.9802864214992928,0.5614038456922006,0.5654110976103686,0.556700418652656,0.02054818121735722,partial_0.001
0.9695536961671628,0.4583210335899404,0.5897124341838801,0.48825147599497437,0.17169599433565866,ROC
0.772607361412702,0.6647590239967736,0.6727420008100445,0.6681743132895902,0.19124246754325014,origin
0.7682577652132941,0.6664207025566411,0.6735520453624949,0.6696406717459877,0.1838415788127363,unconstrained
0.8093590533516597,0.5962737101304298,0.6006480356419603,0.5934993324713658,2.0470102864339573e-05,barycentre
0.8417183915072967,0.5486873785083382,0.5658161198865937,0.5428828362117567,0.02152240683324828,partial_0.001
0.9640722861296054,0.4298160900235136,0.5633859862292426,0.44803524741391854,0.19124246754325014,ROC
0.7758426613068425,0.6683904703045286,0.6767922235722965,0.6725165221637631,0.1936857518969367,origin
0.7630690630416934,0.6783061889250814,0.6828675577156743,0.6813005568726476,0.18445177288365622,unconstrained
1.2219526986052152,0.6245433644824552,0.6245443499392467,0.6244958161922644,7.22854534037257e-05,barycentre
0.9085732493241924,0.5694139046180215,0.5759416767922235,0.5652696282047945,0.021003223355912454,partial_0.001
0.9580054178274768,0.4391810101410909,0.5743215876873228,0.46070092059193474,0.1936857518969367,ROC
0.7807020520600447,0.6790492528820418,0.6877278250303767,0.6834740421300844,0.18198945480714546,origin
0.7807020520600447,0.6790492528820418,0.6877278250303767,0.6834740421300844,0.18017679655258403,unconstrained
1.0379503286463099,0.6274677270239906,0.6277845281490482,0.6265569237894497,1.3734160977066962e-07,barycentre
0.8914429508110386,0.6147237526681061,0.6156338598622925,0.6131538177581347,0.020498628810537663,partial_0.001
0.31297095417506354,0.42169521299956086,0.507492912110166,0.4030200040448865,0.18198945480714546,ROC
0.7733451743502677,0.6619510721836304,0.669501822600243,0.6675783252041411,0.17843747721472847,origin
0.6722723622932392,0.64398518559104,0.6439854191980559,0.6440173065557123,0.17066085610206258,unconstrained
1.310827838827839,0.5634983840800492,0.5666261644390441,0.5593828836076874,8.485019623044679e-07,barycentre
0.8805337744692583,0.548908002361076,0.5577156743620899,0.5418873942443257,0.020641246094621826,partial_0.001
0.9465784615384616,0.4831159804887912,0.5974078574321587,0.5101876998336888,0.17843747721472847,ROC
0.7165782806426739,0.6888673383849175,0.692588092345079,0.6916923552805956,0.17947110201746855,origin
0.6384743840841149,0.653555540896859,0.6545159983799109,0.6520409733274308,0.1730899894712567,unconstrained
1.171085626911315,0.5837984641318599,0.5917375455650061,0.5790257025664787,1.3208420019536547e-07,barycentre
0.7855086906820646,0.5922413643238358,0.59983799108951,0.5876202708907104,0.020692182086007007,partial_0.001
0.9684892070213171,0.42469127993891154,0.5702713649250709,0.4487201989583662,0.17947110201746855,ROC
