DI,f1 macro,f1 micro,f1 weighted,TV distance,method
0.7714339021399846,0.6538919209187961,0.6626164439044148,0.6572971556555298,0.192177384407296,origin
0.7371162487135076,0.6660304504162098,0.6699068448764682,0.6682601058764336,0.1878641808783185,unconstrained
0.8649085416868488,0.6260662930863465,0.6261644390441474,0.6256908847977581,3.7652801451227505e-05,barycentre
0.8568398258832888,0.5789318026289374,0.5840421223167275,0.5760572478045554,0.019806866826326396,partial_0.001
0.9263484914260907,0.46705693530879777,0.5759416767922235,0.4819846821250738,0.192177384407296,ROC
0.7941041554646228,0.6594276524734887,0.6678817334953422,0.6636220937002694,0.16674697121624485,origin
0.7384022977622069,0.6667314177957022,0.6707168894289186,0.6695802919631495,0.1609020636979106,unconstrained
0.7960193027772773,0.6095691887173218,0.6123936816524909,0.6069733452102379,5.75167109918479e-07,barycentre
0.8511222189552092,0.6332921785508143,0.6334548400162009,0.6326884542658224,0.02330242998301168,partial_0.001
0.9499008104048873,0.44954709543108984,0.5718914540299717,0.4698327150269525,0.16674697121624485,ROC
0.7517446833738449,0.671629012984305,0.6776022681247469,0.6758802486247997,0.20429311731466798,origin
0.7517446833738449,0.671629012984305,0.6776022681247469,0.6758802486247997,0.2021814055882401,unconstrained
1.0607040406928028,0.6134438142502658,0.6136087484811664,0.6142102733232746,3.4350201318600137e-06,barycentre
0.9071958308278213,0.587245337417845,0.5905224787363305,0.5837149624520219,0.019190777886320343,partial_0.001
0.9376833900137281,0.46827010907100275,0.5889023896314297,0.4925812064288439,0.20429311731466798,ROC
0.7612283897044743,0.6856346661638705,0.6933981368975294,0.6912971976525959,0.1806195366721583,origin
0.7612283897044743,0.6856346661638705,0.6933981368975294,0.6912971976525959,0.17680313207881626,unconstrained
0.8608161392297495,0.5888515617081047,0.5901174564601053,0.5862366112349938,3.696342728240265e-08,barycentre
0.9069113997956503,0.5422809136921696,0.5544754961522884,0.5337174724112425,0.023152867031504303,partial_0.001
0.9469194163483666,0.47843035477479307,0.6030781692993115,0.5076559815440049,0.1806195366721583,ROC
0.799187165775401,0.6628458321672082,0.6727420008100445,0.6677354284942834,0.17197913197913206,origin
0.7823122529644267,0.6619382078318039,0.6666666666666666,0.6653226184362091,0.16740525266143616,unconstrained
0.9305163636363637,0.6276193503737,0.6277845281490482,0.6269554627766274,0.0005295616487580569,barycentre
0.9099999999999999,0.5971778323441357,0.5974078574321587,0.5963629977102913,0.02361958091543613,partial_0.001
0.3913636363636364,0.37446261317390456,0.4848116646415553,0.3522225439774349,0.17197913197913206,ROC
0.7804915744189332,0.6764985534235866,0.6844876468205752,0.6807607759317738,0.17673389533633105,origin
0.7002613321530456,0.6660157019518436,0.6662616443904414,0.6667755539636313,0.175602038519271,unconstrained
1.2013965326837042,0.6083411459294529,0.608343458890239,0.6082613487823327,1.5899461626772965e-08,barycentre
1.0031239963796676,0.5591943441884173,0.564196030781693,0.5552576555009342,0.020942781992724417,partial_0.001
0.32974916954162364,0.3844013677595023,0.4896719319562576,0.3630585599350866,0.17673389533633105,ROC
0.7963653200601921,0.6601242063773833,0.6670716889428918,0.6641588633913472,0.15556351777239907,origin
0.7963653200601921,0.6601242063773833,0.6670716889428918,0.6641588633913472,0.15239528915803954,unconstrained
0.7540009948598906,0.5986767227316929,0.6018631024706359,0.5957075961567689,0.00024992496025850975,barycentre
0.9357417020607204,0.5714098671801475,0.5714864317537465,0.5709342387683964,0.02073139707667969,partial_0.001
0.9758706410928912,0.4406925504571984,0.5739165654110976,0.46335721690163767,0.15556351777239907,ROC
0.7875759246291303,0.6650356014286303,0.675577156743621,0.6700657043072444,0.17165987265636024,origin
0.7454911445876828,0.6712411731354053,0.6735520453624949,0.6735743726303896,0.16681001657982136,unconstrained
0.8620741056840469,0.6168483610107166,0.616848926690968,0.6168089519532036,0.00010639809267583017,barycentre
0.999884213510287,0.5700354095315494,0.5735115431348724,0.5667628333013939,0.020793789631539595,partial_0.001
0.9617011806437108,0.4447022336912132,0.576751721344674,0.4676244454184335,0.17165987265636024,ROC
0.8139933371127913,0.6694170683329861,0.6780072904009721,0.6751366885541326,0.18647166361974404,origin
0.8139933371127913,0.6694170683329861,0.6780072904009721,0.6751366885541326,0.18157136186671127,unconstrained
0.8315113979778384,0.6145648335936532,0.6148238153098421,0.6134924874250587,2.648973615787169e-07,barycentre
0.9278573929085423,0.5951282990676755,0.5970028351559336,0.5921714415475064,0.017686327126778926,partial_0.001
0.9693716735259948,0.4277813752701558,0.5791818550020251,0.4593728139543648,0.18647166361974404,ROC
0.7710225029609159,0.6780679036512631,0.6852976913730255,0.6824643961847673,0.18678842504743817,origin
0.7270774273564848,0.6703532807148087,0.6707168894289186,0.6713509875523052,0.17934939813617584,unconstrained
1.05941615452151,0.6057346421910794,0.606318347509113,0.6043521822273156,3.6545593261313834e-08,barycentre
1.0042279411764707,0.5774841359406508,0.5803969218307007,0.5742871758174254,0.02206236216736627,partial_0.001
0.9689602778380725,0.44062781019302755,0.5787768327257999,0.46596076053522295,0.18678842504743817,ROC
