DI,f1 macro,f1 micro,f1 weighted,TV distance,method
0.2269390031808272,0.6972014753026774,0.8193171930183752,0.7981558491730664,0.6040050786982396,origin
0.2269390031808272,0.6972014753026774,0.8193171930183752,0.7981558491730664,0.6040040055567131,unconstrained
0.8911164736591682,0.4888537893841315,0.7036904335363668,0.6628297454136182,5.844600054465259e-06,barycentre
0.7509343302964266,0.6772830508762562,0.7818498234119875,0.7737259414345691,0.11864185914233465,partial_0.01
0.9573817138256094,0.6782851515665654,0.7090136663766188,0.7304849489177937,0.6040050786982396,ROC
0.22638540806182886,0.6963353111990085,0.819829042329938,0.7962582828284249,0.6078108649359042,origin
0.22638540806182886,0.6963353111990085,0.819829042329938,0.7962582828284249,0.6078094843386624,unconstrained
1.4522405036749493,0.47677195622792556,0.7066591595434304,0.6557289366621806,4.4877277534739335e-08,barycentre
0.6884853360883368,0.6788598372636272,0.787684905563802,0.7753221175356805,0.11886504405266275,partial_0.01
0.8870265273073938,0.7250763765937839,0.7746839330501101,0.7853358990225373,0.6078108649359042,ROC
0.24157551132745064,0.7026050699677042,0.8205968162972821,0.79886048532628,0.6128035938800117,origin
0.24157551132745064,0.7026050699677042,0.8205968162972821,0.79886048532628,0.6128024011470725,unconstrained
0.9263053450853048,0.5021330296533142,0.714439269079183,0.6691923130516758,2.9291778342740396e-05,barycentre
0.7656084670375564,0.6783753753427557,0.7803142754772995,0.7714169808024052,0.11717618854481995,partial_0.01
0.8610449649845061,0.7314596931099155,0.7872754261145519,0.7943691063392344,0.6128035938800117,ROC
