DI of train,DI of test,f1 macro,f1 micro,f1 weighted,method
0.48504141505403175,0.47989309092240456,0.7127341911716153,0.8169976855589645,0.8036398859564039,origin
0.9999999999995651,0.4843824405347313,0.7129520211640304,0.817266806609613,0.8038455918036232,RW
0.48504141505403175,0.47989309092240456,0.7127341911716153,0.8169976855589645,0.8036398859564039,DIremover
1,1,0.43266764382557715,0.7626352333279509,0.6599351790047476,LFR
0.458066955784873,0.4912290022040552,0.7084580137314342,0.8208192044781742,0.8020079109692481,origin
1.0000000000002922,0.49735807513435765,0.7074949463929341,0.8204424350072662,0.8014433858180906,RW
0.458066955784873,0.4912290022040552,0.7084580137314342,0.8208192044781742,0.8020079109692481,DIremover
1,1,0.43131313131313137,0.7584369449378331,0.6542476272494036,LFR
0.43683292640390653,0.5530305087046528,0.7072597974608396,0.8170515097690941,0.7993640243884446,origin
1.0000000000004172,0.552811833137747,0.7077212550822943,0.8173206308197427,0.7996722124009147,RW
0.43683292640390653,0.5530305087046528,0.7072597974608396,0.8170515097690941,0.7993640243884446,DIremover
1,1,0.4308078796605496,0.7568760428440713,0.6521363263670433,LFR
0.4645824061711912,0.5414136985249172,0.7171323520813828,0.8222724581516766,0.8075693657163147,origin
0.9999999999999927,0.5205026340093866,0.7127450969397354,0.8226492276225846,0.8059226069678419,RW
0.4645824061711912,0.5414136985249172,0.7171323520813828,0.8222724581516766,0.8075693657163147,DIremover
1,1,0.4325290164935858,0.7622046396469132,0.6593512463066546,LFR
0.4763534280971613,0.508418249539273,0.7123169095939104,0.8171053339792238,0.8024145818938129,origin
0.9999999999998259,0.5170994350461874,0.7107525380656692,0.8187200602831154,0.8024550208159466,RW
0.4763534280971613,0.508418249539273,0.7123169095939104,0.8171053339792238,0.8024145818938129,DIremover
1,1,0.4316436721833033,0.7594596049302977,0.6556318654939889,LFR
0.4755432792350074,0.5301890753470169,0.7081701418179607,0.8176974002906509,0.8001934393732527,origin
1.0000000000002494,0.5261925549392215,0.7089763196348489,0.8181818181818182,0.8007373408636221,RW
0.4755432792350074,0.5301890753470169,0.7081701418179607,0.8176974002906509,0.8001934393732527,DIremover
1,1,0.4309647779479326,0.7573604607352388,0.6527913655746121,LFR
0.4655551592962435,0.4436876771549176,0.7130312391207678,0.8222724581516766,0.8061097514015744,origin
1.0000000000002591,0.45478156868573216,0.7106586129666201,0.8228107002529738,0.8053581406337609,RW
0.4655551592962435,0.4436876771549176,0.7130312391207678,0.8222724581516766,0.8061097514015744,DIremover
1,1,0.43273693209574987,0.7628505301684698,0.6602271961454398,LFR
0.453781349064751,0.5502940961914187,0.7121788242990672,0.816513267667797,0.8013565118592697,origin
0.9999999999997718,0.5490719788430918,0.7103761471542247,0.816890037138705,0.8007621684679388,RW
0.453781349064751,0.5502940961914187,0.7121788242990672,0.816513267667797,0.8013565118592697,DIremover
1,1,0.4309473490765414,0.7573066365251091,0.6527185748971353,LFR
0.47835101196978774,0.49415344008497575,0.7131572081767621,0.8202271381667474,0.8029654015900869,origin
1.0000000000000444,0.4874781178229261,0.712402574901618,0.8205500834275257,0.8027802128086808,RW
0.47835101196978774,0.49415344008497575,0.7131572081767621,0.8202271381667474,0.8029654015900869,DIremover
1,1,0.43059854730454505,0.7562301523225147,0.6512632100359393,LFR
0.4827538702914567,0.5367563103482427,0.7083329453704803,0.8155982560955918,0.7987092296265809,origin
1.0000000000004259,0.5421294941526338,0.7089715176171432,0.815167662414554,0.7987977675112731,RW
0.4827538702914567,0.5367563103482427,0.7083329453704803,0.8155982560955918,0.7987092296265809,DIremover
1,1,0.43035413153457,0.7554766133806986,0.6502449636922573,LFR
