DI of train,DI,f1 macro,f1 micro,f1 weighted,method
0.8501498501498501,0.8110150329771941,0.6657045817367123,0.6775935210181258,0.6716125822385189,origin
0.9999999999999876,0.8153444873104502,0.6636959905135996,0.676050906286155,0.6697367239798591,RW
0.8501498501498501,0.8120644715144422,0.6718030130982258,0.676050906286155,0.6753021251140454,DIremover
0.9064355209799303,0.979321286747445,0.667290148623641,0.6714230620902429,0.67076522811286,LFR
0.864060434091483,0.7545292803054959,0.6675348748607937,0.676050906286155,0.6725213703701015,origin
0.9999999999999662,0.7518792875953331,0.6690647635408862,0.6768222136521403,0.6738130264553316,RW
0.864060434091483,0.8496323249658728,0.6561949170649128,0.6694947936752796,0.6625319170969112,DIremover
1.0087223013659272,0.9740349832398498,0.6576262420366663,0.6652526031623602,0.6624148873946601,LFR
0.8266640267915134,0.7801786471425542,0.6603396210663721,0.6671808715773235,0.6648942579554565,origin
0.9999999999999665,0.780220754716981,0.6597546973811304,0.6667952178943309,0.664379167959506,RW
0.8266640267915134,0.8754688808036577,0.6566437484084543,0.6640956421133822,0.6614231043186829,DIremover
0.9053813044607811,0.9331750716190853,0.6515268210183465,0.6602391052834554,0.6567329421035946,LFR
0.8144839924381709,0.7777939084231003,0.679326691858468,0.6841496336290012,0.682466153954381,origin
1.0000000000000029,0.7933535112947945,0.6689791258612452,0.676050906286155,0.6728415494706286,RW
0.8144839924381709,0.8697540721814117,0.6671080527902695,0.676050906286155,0.6714637484929714,DIremover
0.9938881341859157,1.0134634744167723,0.6667375449320292,0.6741226378711916,0.6706979445133936,LFR
0.8115367357060199,0.7580898166419084,0.6660661876636425,0.673736984188199,0.6712386077120076,origin
1.0000000000000382,0.7550819816159109,0.6652246886752748,0.6733513305052063,0.6705552829449081,RW
0.8115367357060199,0.7905763906869286,0.6672207828287404,0.6721943694562283,0.6713785129747477,DIremover
0.9313997136769963,0.9224029345009095,0.6517247343165828,0.6621673736984188,0.6578879847312522,LFR
0.9189684266327952,0.779718768205482,0.6511652082454307,0.6606247589664481,0.6570358896062495,origin
0.9999999999999862,0.7754620899543868,0.6533672396318964,0.6617817200154261,0.6588866388933702,RW
0.9189684266327952,0.9510229142469997,0.6293783988698836,0.6428846895487852,0.6366090393343461,DIremover
0.9454310371685829,0.8656555181056089,0.654645550420734,0.6602391052834554,0.6591373444771618,LFR
0.8356032453256028,0.7736233957151133,0.6763584984083244,0.6822213652140378,0.6800038912359456,origin
0.9999999999999787,0.8031084327744339,0.6668325654763658,0.6768222136521403,0.6716605246169963,RW
0.8356032453256028,0.747563496751329,0.6639988943294663,0.6640956421133822,0.6644760368092333,DIremover
0.9526831807269869,0.9784841731714605,0.6674646261702217,0.6702661010412649,0.6700189120820552,LFR
0.8465926901134725,0.8007456867676291,0.663232586688899,0.6725800231392209,0.6677548418234297,origin
1.0000000000000524,0.8188104492452317,0.6571052735367333,0.6702661010412649,0.6625198659549363,RW
0.8465926901134725,0.9426453307527476,0.6466921866050551,0.6610104126494408,0.6524249629331712,DIremover
0.922499573548644,0.9215361606665954,0.6546746695426522,0.6664095642113382,0.6598056172115965,LFR
0.887750789849677,0.7839242474778759,0.6580553335835049,0.6702661010412649,0.6625658415627999,origin
0.9999999999999875,0.7912179171100097,0.6558236738881691,0.6687234863092942,0.660474801474272,RW
0.887750789849677,0.8799779566612214,0.6627461910070604,0.6706517547242576,0.6663504908378228,DIremover
0.9247788488456934,0.8918290486327165,0.6595869047401477,0.6675665252603162,0.663224968503751,LFR
0.8299357728059739,0.7693948280458544,0.6592127485200223,0.6648669494793675,0.6627508563059599,origin
0.9999999999999618,0.7689521493455405,0.6604916656687967,0.6660239105283455,0.6639848353837384,RW
0.8299357728059739,0.8717289573844139,0.6559000258613154,0.6610104126494408,0.6592799968699172,DIremover
1.016183654508946,1.0508512464783457,0.6517968187124517,0.6579251831854994,0.6555201564300882,LFR
