DI of train,DI,f1 macro,f1 micro,f1 weighted,method
0.350811916716459,0.40300228879386235,0.6276818444448032,0.8045332683402389,0.7601296644906882,origin
1.0000000000001064,0.3971050472934225,0.6252138639611386,0.8047769924445528,0.7591148475886648,RW
0.350811916716459,0.3999415119169469,0.6269570480527001,0.8046795028028273,0.7598598074700091,DIremover
0.6614230658382783,0.649297758213343,0.6264667405797317,0.7983426760906652,0.7572510378724364,LFR
0.3791737521209309,0.36864730588375566,0.6334996300774585,0.806726785279064,0.7645131060087919,origin
0.9999999999999001,0.3873423551563918,0.6205340967529023,0.805166951011455,0.7581636324884705,RW
0.3791737521209309,0.370144455557886,0.6308250476641397,0.8065805508164757,0.7632718122085387,DIremover
0.6027588145060246,0.5530551570117272,0.635870897882304,0.8040945649524738,0.7645600729136797,LFR
0.36735147153610986,0.41275418726543234,0.6104122017708147,0.8023884962222764,0.7517849260717487,origin
1.0000000000003217,0.42181754259415566,0.6111463365607215,0.8023884962222764,0.7521154825404803,RW
0.36735147153610986,0.4184454624410759,0.611059143579652,0.8022910065805509,0.7520402980547671,DIremover
0.6428230277910312,0.6490597595905808,0.6343098753580605,0.7999512551791372,0.7615371392823393,LFR
0.3575949446981689,0.37788035836148465,0.6320342501680931,0.8097977089934193,0.7676351437541142,origin
1.000000000000104,0.39627998081683036,0.6157407976914929,0.8082866195466731,0.7599579099569381,RW
0.3575949446981689,0.38985525105931196,0.632511835903689,0.809895198635145,0.7678797469701344,DIremover
0.6454603080519952,0.6088884302804216,0.6345216668582099,0.804484523519376,0.7666650544138572,LFR
0.35085381026134815,0.4424203788763962,0.6333218293826272,0.8061418474287108,0.7626178056785362,origin
1.0000000000002678,0.4497895296452033,0.6282150987351649,0.8053131854740434,0.7600098963880755,RW
0.35085381026134815,0.4444613611288234,0.634016787588546,0.8060931026078479,0.7629119415914168,DIremover
0.7498902855747521,0.8139761000268148,0.640752901219724,0.7959054350475262,0.7620140085438266,LFR
0.3498764527930906,0.40464820381934286,0.6299174628903236,0.8109675846941263,0.7682695839843856,origin
0.9999999999998745,0.41416439187139825,0.6116267775657398,0.8083841091883989,0.7593766845129015,RW
0.3498764527930906,0.40464820381934286,0.6299174628903236,0.8109675846941263,0.7682695839843856,DIremover
0.6098591812569976,0.6460187511107056,0.6294064772278296,0.8052644406531806,0.765854437103217,LFR
0.35852189556725106,0.37387735050728077,0.615161110291269,0.8028271996100415,0.7538474768707639,origin
1.0000000000001854,0.40231686659062793,0.6105014899552661,0.8019010480136486,0.7514059556505651,RW
0.35852189556725106,0.3858964962138245,0.6161937659368657,0.8027297099683158,0.7542762746392124,DIremover
0.62475174199547,0.5987426241122032,0.6329025621451578,0.8001462344625884,0.7607720471472983,LFR
0.36868270568234507,0.36266479786255534,0.6153225830316233,0.804484523519376,0.7559777531551803,origin
1.0000000000003577,0.37199148900442125,0.6139713579054924,0.804484523519376,0.7553756968294247,RW
0.36868270568234507,0.3854423622342168,0.6259072212683704,0.8059468681452595,0.7612279142589609,DIremover
0.6376931754855721,0.6268453327276857,0.6320647734741133,0.801364854984158,0.7622029577162049,LFR
0.3532690989683447,0.4116644050812965,0.6215388963429329,0.80560565439922,0.7585179117217887,origin
0.9999999999999185,0.4203787795434277,0.6216838703820037,0.8056543992200829,0.7586008437175992,RW
0.3532690989683447,0.4154515859335192,0.6373355111110743,0.8087253229344382,0.7667255222068239,DIremover
0.5781204849191889,0.5877908463283796,0.6421887203370641,0.8003412137460395,0.7656471555101236,LFR
0.3660517435799675,0.4109261053717201,0.6280112439901019,0.8023397514014136,0.7579631910200807,origin
1.000000000000047,0.4156755577114975,0.6278312510579911,0.8021447721179624,0.7578090467828372,RW
0.3660517435799675,0.4109261053717201,0.6280112439901019,0.8023397514014136,0.7579631910200807,DIremover
0.6935207526082483,0.6564990610312095,0.6227074971265111,0.7925907872288569,0.7519032085954533,LFR
